,CustomerID,Gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn
0,7978-DTYVZ,0,0,7,111.44,780.08,0,0,2,No
1,6816-CQOEN,0,0,69,104.06,7180.14,1,0,3,No
2,2212-CSPWC,0,1,16,104.76,1676.16,2,2,0,No
3,9852-DKNQQ,1,0,1,97.16,97.16,2,1,3,No
4,0313-QTGET,1,0,37,108.09,3999.33,0,0,0,Yes
5,1231-OZCHA,1,1,37,100.57,3721.09,0,0,0,No
6,4519-EKGGD,0,0,64,80.25,5136,1,0,3,No
7,1314-FDOHV,0,0,62,49.58,3073.96,0,1,0,No
8,2082-BFALS,,1,72,108.82,7835.04,2,1,0,Yes
9,3657-HRBRF,1,1,61,104.06,6347.66,2,2,2,No
10,9064-CNQCJ,1,0,33,67.29,2220.57,0,0,2,No
11,2871-GNTVA,0,1,66,23.91,1578.06,0,0,0,No
12,9113-MZXMT,1,0,30,83.85,2515.5,0,2,1,No
13,7409-OXQPN,0,1,20,25.06,501.2,1,0,3,No
14,7709-JULER,0,0,60,112.63,6757.8,1,2,0,Yes
15,4331-ZUCCY,1,1,24,116.16,2787.84,2,2,3,Yes
16,8978-EZCCK,1,0,4,38.95,155.8,1,0,2,No
17,3342-XRQVD,0,1,37,87.64,3242.68,1,1,3,Yes
18,4148-SAHJO,1,1,4,29.23,116.92,1,1,0,No
19,4302-DVKYR,1,1,18,92.95,1673.1,1,1,0,No
20,1819-QWTBK,0,1,66,54.73,3612.18,2,1,0,No
21,3443-SIFPO,0,1,48,88.11,4229.28,0,0,0,Yes
22,9799-XGGTE,0,1,33,57.29,1890.57,2,2,1,Yes
23,2842-CBYMO,0,1,58,34.56,2004.48,1,2,1,Yes
24,2695-DFEBJ,0,0,28,60.61,1697.08,0,0,1,Yes
25,8585-LHHBF,1,0,35,31.27,1094.45,0,1,0,No
26,5642-NDDMT,0,1,10,77.69,776.9,0,2,1,Yes
27,2742-CJFWQ,0,1,65,24.1,1566.5,2,0,3,No
28,3695-WICVR,0,0,42,72.73,3054.66,0,0,0,No
29,7321-WWDSF,1,0,9,108.64,977.76,2,1,2,No
30,5998-MTSEN,0,1,60,103.79,6227.4,2,0,0,Yes
31,0409-BWXZN,0,0,15,108.28,1624.2,1,2,3,Yes
32,9365-NDSPK,0,0,57,112.2,6395.4,1,2,1,Yes
33,2169-AAQDK,1,1,69,30.45,2101.05,0,0,0,No
34,8805-TECVY,0,1,22,32.87,723.14,0,2,1,No
35,2727-HRWMU,0,1,64,75.7,4844.8,1,0,0,No
36,3183-HKNLA,0,0,41,109.4,4485.4,2,2,3,No
37,4001-BWXSI,1,1,71,117.43,8337.53,2,1,0,No
38,6588-FLVZB,1,1,56,24.63,1379.28,1,2,1,No
39,6266-GJUGP,1,0,23,55.58,1278.34,2,1,1,No
40,4963-VTTLC,1,1,25,41.29,1032.25,1,1,3,No
41,5526-UGWAZ,0,0,6,95.6,573.6,1,0,0,Yes
42,2643-QWWGM,0,0,34,84.02,2856.68,0,1,2,No
43,3390-ENPIS,1,0,63,31.99,2015.37,0,2,0,No
44,3892-VHFSA,1,0,9,68.35,615.15,1,2,3,No
45,6408-RAZMU,0,0,60,88.54,5312.4,0,1,2,No
46,3134-OQHJS,0,0,49,97.9,4797.1,1,0,3,No
47,4825-LKGOF,1,1,51,22.01,1122.51,2,1,0,No
48,6793-PAHCA,1,1,60,109.05,6543,2,2,2,No
49,0730-IJDEK,1,1,70,76.93,5385.1,2,2,3,No
50,3253-QVZAU,1,0,37,101.19,3744.03,2,1,1,No
51,8350-PDUFS,0,1,31,100.79,3124.49,1,1,2,No
52,8739-DVJYE,1,0,41,38.99,1598.59,2,1,2,No
53,0572-GZSKX,1,1,62,31.02,1923.24,2,2,3,No
54,1278-UUCDG,0,0,58,92.13,5343.54,2,2,1,No
55,1423-KBBMX,0,1,14,35.64,498.96,2,2,2,No
56,5462-QZIIW,0,0,36,104.99,3779.64,1,0,3,No
57,4935-QIGAI,0,1,36,92.62,3334.32,2,2,2,No
58,9524-SNXRO,0,0,8,104.18,833.44,0,2,2,Yes
59,0156-ATMFL,1,1,26,49.9,1297.4,0,0,2,No
60,1235-KHRJI,1,0,36,51.66,1859.76,0,0,1,Yes
61,3519-MYOPQ,1,1,48,87.12,4181.76,0,0,0,No
62,7115-XFWQE,0,1,28,23.14,647.92,0,0,0,No
63,8265-UOAXH,1,1,68,92.65,6300.2,0,0,1,No
64,2630-TDUZS,0,0,62,103.58,6421.96,1,0,1,Yes
65,7553-HDYAQ,1,0,51,61.52,3137.52,0,1,3,No
66,6431-INYCB,1,0,42,96.49,4052.58,2,1,2,No
67,3085-XJULH,0,0,29,37.46,1086.34,0,1,1,No
68,0020-HZKSF,0,0,10,52.23,522.3,1,1,3,Yes
69,6930-XRJRO,1,1,39,117.43,4579.77,0,2,0,No
70,4871-EOWYE,1,0,1,118.63,118.63,2,0,0,No
71,4440-HXOLM,1,1,39,71.26,2779.14,2,2,0,Yes
72,8262-NIPPI,1,1,21,113.43,2382.03,1,0,0,No
73,5163-UEPZL,1,0,65,72.27,4697.55,1,0,3,No
74,6563-YAFCI,0,1,15,49.16,737.4,1,2,2,No
75,9753-ZYHNB,0,0,4,46.69,186.76,1,1,3,No
